id	category	name	iri
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000197043	biolink:Gene	ANXA6	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000100030	biolink:Gene	MAPK1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000134215	biolink:Gene	VAV3	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000113013	biolink:Gene	HSPA9	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000111859	biolink:Gene	NEDD9	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000165731	biolink:Gene	RET	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000062038	biolink:Gene	CDH3	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000160691	biolink:Gene	SHC1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000145675	biolink:Gene	PIK3R1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000095015	biolink:Gene	MAP3K1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000110092	biolink:Gene	CCND1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000107263	biolink:Gene	RAPGEF1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000196924	biolink:Gene	FLNA	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000105221	biolink:Gene	AKT2	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000134250	biolink:Gene	NOTCH2	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000145242	biolink:Gene	EPHA5	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000007264	biolink:Gene	MATK	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000185989	biolink:Gene	RASA3	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000132535	biolink:Gene	DLG4	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000165458	biolink:Gene	INPPL1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000188313	biolink:Gene	PLSCR1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000150764	biolink:Gene	DIXDC1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000142273	biolink:Gene	CBLC	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000085063	biolink:Gene	CD59	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000168610	biolink:Gene	STAT3	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000067606	biolink:Gene	PRKCZ	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000136238	biolink:Gene	RAC1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000120875	biolink:Gene	DUSP4	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000095370	biolink:Gene	SH2D3C	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000065361	biolink:Gene	ERBB3	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000011465	biolink:Gene	DCN	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000163932	biolink:Gene	PRKCD	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000105647	biolink:Gene	PIK3R2	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000065243	biolink:Gene	PKN2	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000127445	biolink:Gene	PIN1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000097007	biolink:Gene	ABL1	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000196262	biolink:Gene	PPIA	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000142949	biolink:Gene	PTPRF	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
ensembl:ENSG00000175387	biolink:Gene	SMAD2	
ensembl:ENSG00000146648	biolink:Gene	EGFR	
